method,dataset,unlearning_type,ratio,selection,seed,n,utility__accuracy_after_n,utility__accuracy_after_mean,utility__accuracy_after_std,utility__accuracy_after_min,utility__accuracy_after_max,utility__accuracy_drop_n,utility__accuracy_drop_mean,utility__accuracy_drop_std,utility__accuracy_drop_min,utility__accuracy_drop_max,utility__f1_macro_after_n,utility__f1_macro_after_mean,utility__f1_macro_after_std,utility__f1_macro_after_min,utility__f1_macro_after_max,structure__degree_kl_divergence_n,structure__degree_kl_divergence_mean,structure__degree_kl_divergence_std,structure__degree_kl_divergence_min,structure__degree_kl_divergence_max,structure__clustering_coefficient_change_n,structure__clustering_coefficient_change_mean,structure__clustering_coefficient_change_std,structure__clustering_coefficient_change_min,structure__clustering_coefficient_change_max,structure__component_count_change_n,structure__component_count_change_mean,structure__component_count_change_std,structure__component_count_change_min,structure__component_count_change_max,privacy__weak_auc_n,privacy__weak_auc_mean,privacy__weak_auc_std,privacy__weak_auc_min,privacy__weak_auc_max,privacy__medium_auc_n,privacy__medium_auc_mean,privacy__medium_auc_std,privacy__medium_auc_min,privacy__medium_auc_max,privacy__strong_auc_n,privacy__strong_auc_mean,privacy__strong_auc_std,privacy__strong_auc_min,privacy__strong_auc_max,privacy__overall_mia_auc_n,privacy__overall_mia_auc_mean,privacy__overall_mia_auc_std,privacy__overall_mia_auc_min,privacy__overall_mia_auc_max,privacy__privacy_score_n,privacy__privacy_score_mean,privacy__privacy_score_std,privacy__privacy_score_min,privacy__privacy_score_max,efficiency__unlearn_time_seconds_n,efficiency__unlearn_time_seconds_mean,efficiency__unlearn_time_seconds_std,efficiency__unlearn_time_seconds_min,efficiency__unlearn_time_seconds_max,efficiency__online_wall_clock_seconds_n,efficiency__online_wall_clock_seconds_mean,efficiency__online_wall_clock_seconds_std,efficiency__online_wall_clock_seconds_min,efficiency__online_wall_clock_seconds_max,efficiency__offline_preprocessing_seconds_n,efficiency__offline_preprocessing_seconds_mean,efficiency__offline_preprocessing_seconds_std,efficiency__offline_preprocessing_seconds_min,efficiency__offline_preprocessing_seconds_max,efficiency__speedup_vs_retrain_n,efficiency__speedup_vs_retrain_mean,efficiency__speedup_vs_retrain_std,efficiency__speedup_vs_retrain_min,efficiency__speedup_vs_retrain_max
hasi_dar_off,pubmed,node,0.05,hub_train,123,1,1,0.867393509127789,0.0,0.867393509127789,0.867393509127789,1,0.0098884381338743,0.0,0.0098884381338743,0.0098884381338743,1,0.8583239128691041,0.0,0.8583239128691041,0.8583239128691041,1,0.1681845170716014,0.0,0.1681845170716014,0.1681845170716014,1,-0.016992147504181973,0.0,-0.016992147504181973,-0.016992147504181973,1,1688.0,0.0,1688.0,1688.0,1,0.6508229090577063,0.0,0.6508229090577063,0.6508229090577063,1,0.9997888513513513,0.0,0.9997888513513513,0.9997888513513513,1,0.5164867147552958,0.0,0.5164867147552958,0.5164867147552958,1,0.5164867147552958,0.0,0.5164867147552958,0.5164867147552958,1,0.9670265704894083,0.0,0.9670265704894083,0.9670265704894083,1,3.1034359019249678,0.0,3.1034359019249678,3.1034359019249678,1,138.9328419661615,0.0,138.9328419661615,138.9328419661615,0,,,,,0,,,,
hasi_dar_off,pubmed,node,0.05,hub_train,2024,1,1,0.8739858012170385,0.0,0.8739858012170385,0.8739858012170385,1,0.0005070993914807476,0.0,0.0005070993914807476,0.0005070993914807476,1,0.8682807219984156,0.0,0.8682807219984156,0.8682807219984156,1,0.1547741655281021,0.0,0.1547741655281021,0.1547741655281021,1,-0.014465330566202583,0.0,-0.014465330566202583,-0.014465330566202583,1,1557.0,0.0,1557.0,1557.0,1,0.6623076835281227,0.0,0.6623076835281227,0.6623076835281227,1,0.9999001323959095,0.0,0.9999001323959095,0.9999001323959095,1,0.5225900520452885,0.0,0.5225900520452885,0.5225900520452885,1,0.5225900520452885,0.0,0.5225900520452885,0.5225900520452885,1,0.954819895909423,0.0,0.954819895909423,0.954819895909423,1,3.2141959958244115,0.0,3.2141959958244115,3.2141959958244115,1,138.86689860397018,0.0,138.86689860397018,138.86689860397018,0,,,,,0,,,,
hasi_dar_off,pubmed,node,0.05,hub_train,42,1,1,0.8722109533468559,0.0,0.8722109533468559,0.8722109533468559,1,-0.005578093306288001,0.0,-0.005578093306288001,-0.005578093306288001,1,0.8670101683465389,0.0,0.8670101683465389,0.8670101683465389,1,0.16485318077485916,0.0,0.16485318077485916,0.16485318077485916,1,-0.015034128458571348,0.0,-0.015034128458571348,-0.015034128458571348,1,1602.0,0.0,1602.0,1602.0,1,0.6564640020087655,0.0,0.6564640020087655,0.6564640020087655,1,0.9999800264791819,0.0,0.9999800264791819,0.9999800264791819,1,0.5058408281592404,0.0,0.5058408281592404,0.5058408281592404,1,0.5058408281592404,0.0,0.5058408281592404,0.5058408281592404,1,0.9883183436815193,0.0,0.9883183436815193,0.9883183436815193,1,3.409703687997535,0.0,3.409703687997535,3.409703687997535,1,141.69728645705618,0.0,141.69728645705618,141.69728645705618,0,,,,,0,,,,
hasi_dar_on,pubmed,node,0.05,hub_train,123,1,1,0.8793103448275862,0.0,0.8793103448275862,0.8793103448275862,1,-0.0020283975659228792,0.0,-0.0020283975659228792,-0.0020283975659228792,1,0.8709324551117792,0.0,0.8709324551117792,0.8709324551117792,1,0.1681845170716014,0.0,0.1681845170716014,0.1681845170716014,1,-0.016992147504181973,0.0,-0.016992147504181973,-0.016992147504181973,1,1688.0,0.0,1688.0,1688.0,1,0.6535022142074507,0.0,0.6535022142074507,0.6535022142074507,1,0.9996604501460921,0.0,0.9996604501460921,0.9996604501460921,1,0.5101551086559533,0.0,0.5101551086559533,0.5101551086559533,1,0.5101551086559533,0.0,0.5101551086559533,0.5101551086559533,1,0.9796897826880935,0.0,0.9796897826880935,0.9796897826880935,1,10513.389800912933,0.0,10513.389800912933,10513.389800912933,1,10653.668629731983,0.0,10653.668629731983,10653.668629731983,0,,,,,0,,,,
hasi_dar_on,pubmed,node,0.05,hub_train,2024,1,1,0.8767748478701826,0.0,0.8767748478701826,0.8767748478701826,1,-0.0022819472616633085,0.0,-0.0022819472616633085,-0.0022819472616633085,1,0.871023327139178,0.0,0.871023327139178,0.871023327139178,1,0.1547741655281021,0.0,0.1547741655281021,0.1547741655281021,1,-0.014465330566202583,0.0,-0.014465330566202583,-0.014465330566202583,1,1557.0,0.0,1557.0,1557.0,1,0.6543154218407596,0.0,0.6543154218407596,0.6543154218407596,1,0.9960509495982469,0.0,0.9960509495982469,0.9960509495982469,1,0.5032442704528853,0.0,0.5032442704528853,0.5032442704528853,1,0.5032442704528853,0.0,0.5032442704528853,0.5032442704528853,1,0.9935114590942293,0.0,0.9935114590942293,0.9935114590942293,1,10580.939447746146,0.0,10580.939447746146,10580.939447746146,1,10720.100003765896,0.0,10720.100003765896,10720.100003765896,0,,,,,0,,,,
hasi_dar_on,pubmed,node,0.05,hub_train,42,1,1,0.8775354969574036,0.0,0.8775354969574036,0.8775354969574036,1,-0.010902636916835684,0.0,-0.010902636916835684,-0.010902636916835684,1,0.8719713434542151,0.0,0.8719713434542151,0.8719713434542151,1,0.16485318077485916,0.0,0.16485318077485916,0.16485318077485916,1,-0.015034128458571348,0.0,-0.015034128458571348,-0.015034128458571348,1,1602.0,0.0,1602.0,1602.0,1,0.6500382350255661,0.0,0.6500382350255661,0.6500382350255661,1,0.9998345051132214,0.0,0.9998345051132214,0.9998345051132214,1,0.5148403259678598,0.0,0.5148403259678598,0.5148403259678598,1,0.5148403259678598,0.0,0.5148403259678598,0.5148403259678598,1,0.9703193480642804,0.0,0.9703193480642804,0.9703193480642804,1,11648.049346572952,0.0,11648.049346572952,11648.049346572952,1,11789.628684731899,0.0,11789.628684731899,11789.628684731899,0,,,,,0,,,,
