method,dataset,unlearning_type,ratio,selection,n,seeds,utility__accuracy_after_n,utility__accuracy_after_mean,utility__accuracy_after_std,utility__accuracy_after_min,utility__accuracy_after_max,utility__accuracy_drop_n,utility__accuracy_drop_mean,utility__accuracy_drop_std,utility__accuracy_drop_min,utility__accuracy_drop_max,utility__f1_macro_after_n,utility__f1_macro_after_mean,utility__f1_macro_after_std,utility__f1_macro_after_min,utility__f1_macro_after_max,structure__degree_kl_divergence_n,structure__degree_kl_divergence_mean,structure__degree_kl_divergence_std,structure__degree_kl_divergence_min,structure__degree_kl_divergence_max,structure__clustering_coefficient_change_n,structure__clustering_coefficient_change_mean,structure__clustering_coefficient_change_std,structure__clustering_coefficient_change_min,structure__clustering_coefficient_change_max,structure__component_count_change_n,structure__component_count_change_mean,structure__component_count_change_std,structure__component_count_change_min,structure__component_count_change_max,privacy__medium_auc_n,privacy__medium_auc_mean,privacy__medium_auc_std,privacy__medium_auc_min,privacy__medium_auc_max,privacy__medium_train_size_n,privacy__medium_train_size_mean,privacy__medium_train_size_std,privacy__medium_train_size_min,privacy__medium_train_size_max,privacy__medium_eval_size_n,privacy__medium_eval_size_mean,privacy__medium_eval_size_std,privacy__medium_eval_size_min,privacy__medium_eval_size_max,privacy__strong_auc_n,privacy__strong_auc_mean,privacy__strong_auc_std,privacy__strong_auc_min,privacy__strong_auc_max,privacy__strong_auc_null_mean_n,privacy__strong_auc_null_mean_mean,privacy__strong_auc_null_mean_std,privacy__strong_auc_null_mean_min,privacy__strong_auc_null_mean_max,privacy__strong_auc_null_std_n,privacy__strong_auc_null_std_mean,privacy__strong_auc_null_std_std,privacy__strong_auc_null_std_min,privacy__strong_auc_null_std_max,privacy__strong_auc_pvalue_n,privacy__strong_auc_pvalue_mean,privacy__strong_auc_pvalue_std,privacy__strong_auc_pvalue_min,privacy__strong_auc_pvalue_max,privacy__privacy_score_n,privacy__privacy_score_mean,privacy__privacy_score_std,privacy__privacy_score_min,privacy__privacy_score_max,representation__embedding_l2_mean_n,representation__embedding_l2_mean_mean,representation__embedding_l2_mean_std,representation__embedding_l2_mean_min,representation__embedding_l2_mean_max,representation__member_embedding_l2_mean_n,representation__member_embedding_l2_mean_mean,representation__member_embedding_l2_mean_std,representation__member_embedding_l2_mean_min,representation__member_embedding_l2_mean_max,representation__neighbor_drift_mean_n,representation__neighbor_drift_mean_mean,representation__neighbor_drift_mean_std,representation__neighbor_drift_mean_min,representation__neighbor_drift_mean_max,efficiency__unlearn_time_seconds_n,efficiency__unlearn_time_seconds_mean,efficiency__unlearn_time_seconds_std,efficiency__unlearn_time_seconds_min,efficiency__unlearn_time_seconds_max,efficiency__online_wall_clock_seconds_n,efficiency__online_wall_clock_seconds_mean,efficiency__online_wall_clock_seconds_std,efficiency__online_wall_clock_seconds_min,efficiency__online_wall_clock_seconds_max,efficiency__offline_preprocessing_seconds_n,efficiency__offline_preprocessing_seconds_mean,efficiency__offline_preprocessing_seconds_std,efficiency__offline_preprocessing_seconds_min,efficiency__offline_preprocessing_seconds_max
hasi_hier_anchor_rq3_mia_v2_daroff,pubmed,node,0.05,hub_neighbor_train,3,"42,123,2024",3,0.8557302231237323,0.02015839676501111,0.835446247464503,0.8757606490872211,3,0.01707234617985128,0.014884756487130451,0.0015212981744422427,0.03118661257606492,3,0.8489762236748732,0.018213516694114158,0.8303439213116633,0.8667398698609879,3,0.00784085972442909,0.0033553532977943943,0.004300184270900608,0.010973588273463276,3,0.00022925544857624325,3.509010337730043e-05,0.00018884021918508243,0.00025196751530261186,3,0.0,0.0,0.0,0.0,3,0.9878865351838325,0.004838307158849077,0.982389061358656,0.9914969868517166,3,592.0,0.0,592.0,592.0,3,592.0,0.0,592.0,592.0,3,0.6352892165814463,0.06591829003399208,0.5779794786340394,0.707325146092038,3,0.5131720519083273,0.00058376768413132,0.5125355814006575,0.5136825465668371,3,0.010167851915648079,0.0006174254946698063,0.009454931669216503,0.010529085207539935,3,0.004975124378109453,0.0,0.004975124378109453,0.004975124378109453,3,0.7294215668371073,0.13183658006798415,0.585349707815924,0.8440410427319212,3,0.1076262573894341,0.0008457210200809594,0.1066506740806987,0.10815175779072395,3,0.3592743948004833,0.024931314933156853,0.3403969253578678,0.3875360231590241,3,0.12516398774755622,0.002335652750560014,0.12261813530155823,0.12720779026646986,3,8.501639501657337,0.09380542214015145,8.429910790873691,8.607793979113922,3,14.713539094974598,0.1198890858950743,14.619253248907626,14.848465999122709,3,0.9792091265941659,0.04340618700900169,0.9291051998734474,1.0053988359868526
hasi_no_anchor_rq3_mia_v2_daroff,pubmed,node,0.05,hub_neighbor_train,3,"42,123,2024",3,0.85420892494929,0.02086515274994019,0.8344320486815415,0.8760141987829615,3,0.018593644354293448,0.01579826899064411,0.0012677484787018134,0.032200811359026416,3,0.8474906837709782,0.01868485296686849,0.8293924610424291,0.866711544293798,3,0.00784085972442909,0.0033553532977943943,0.004300184270900608,0.010973588273463276,3,0.00022925544857624325,3.509010337730043e-05,0.00018884021918508243,0.00025196751530261186,3,0.0,0.0,0.0,0.0,3,0.9894425675675675,0.002526910974795717,0.9867946493791089,0.9918279766252739,3,592.0,0.0,592.0,592.0,3,592.0,0.0,592.0,592.0,3,0.6268613419162405,0.05690001942844305,0.5757196174214755,0.6881534194667641,3,0.5132107244491113,0.0006172814668876177,0.5125033241645361,0.513640088568298,3,0.010148434393696963,0.0005648241253064656,0.009499126116433046,0.010526242679256856,3,0.004975124378109453,0.0,0.004975124378109453,0.004975124378109453,3,0.7462773161675189,0.1138000388568861,0.6236931610664718,0.848560765157049,3,0.10580973853708348,0.0015028414983950264,0.10458966272222654,0.10748846434273064,3,0.35760580527384683,0.023485813249866462,0.34039716634546324,0.3843617220143665,3,0.1249150669898474,0.0026830771966575347,0.12181699703894233,0.1264834714696281,3,8.558378501640012,0.048385817728068166,8.52525057294406,8.61390517395921,3,14.734452632023022,0.032647212317250214,14.710074728121981,14.771543969865888,3,0.9792091265941659,0.04340618700900169,0.9291051998734474,1.0053988359868526
hasi_strong_anchor_rq3_mia_v2_daroff,pubmed,node,0.05,hub_neighbor_train,3,"42,123,2024",3,0.8652805949966194,0.01280948855268638,0.8526876267748479,0.8782961460446247,3,0.007521974306964181,0.0077002893711244245,-0.001014198782961384,0.013945233265720058,3,0.8596467671053302,0.01051876543512941,0.8490237065772556,0.8700580390336011,3,0.00784085972442909,0.0033553532977943943,0.004300184270900608,0.010973588273463276,3,0.00022925544857624325,3.509010337730043e-05,0.00018884021918508243,0.00025196751530261186,3,0.0,0.0,0.0,0.0,3,0.9850331750669589,0.008644385901564767,0.9756437180423667,0.992661157779401,3,592.0,0.0,592.0,592.0,3,592.0,0.0,592.0,592.0,3,0.6663670638543949,0.06195601754524226,0.6040962837837838,0.7280034468590212,3,0.5133280213279158,0.0005379851990004217,0.5127945523648649,0.5138704117969322,3,0.010077111134351885,0.0007672697978045952,0.00919323079772904,0.010571678344397747,3,0.004975124378109453,0.0,0.004975124378109453,0.004975124378109453,3,0.66726587229121,0.12391203509048453,0.5439931062819576,0.7918074324324325,3,0.11068821146579283,0.013406717312961967,0.09636214341464883,0.12293188519076957,3,0.35477231609031645,0.028932683327766513,0.32775126340994853,0.3852974596339054,3,0.12537358760369857,0.014987630792330791,0.11049193318235268,0.1404649930951258,3,8.720632814336568,0.041398982294385336,8.685515247983858,8.76627972908318,3,14.949910453986377,0.01846381959126967,14.932443469995633,14.96923124906607,3,0.9792091265941659,0.04340618700900169,0.9291051998734474,1.0053988359868526
