method,dataset,unlearning_type,ratio,selection,n,seeds,utility__accuracy_after_n,utility__accuracy_after_mean,utility__accuracy_after_std,utility__accuracy_after_min,utility__accuracy_after_max,utility__accuracy_drop_n,utility__accuracy_drop_mean,utility__accuracy_drop_std,utility__accuracy_drop_min,utility__accuracy_drop_max,utility__f1_macro_after_n,utility__f1_macro_after_mean,utility__f1_macro_after_std,utility__f1_macro_after_min,utility__f1_macro_after_max,structure__degree_kl_divergence_n,structure__degree_kl_divergence_mean,structure__degree_kl_divergence_std,structure__degree_kl_divergence_min,structure__degree_kl_divergence_max,structure__clustering_coefficient_change_n,structure__clustering_coefficient_change_mean,structure__clustering_coefficient_change_std,structure__clustering_coefficient_change_min,structure__clustering_coefficient_change_max,structure__component_count_change_n,structure__component_count_change_mean,structure__component_count_change_std,structure__component_count_change_min,structure__component_count_change_max,privacy__medium_auc_n,privacy__medium_auc_mean,privacy__medium_auc_std,privacy__medium_auc_min,privacy__medium_auc_max,privacy__medium_train_size_n,privacy__medium_train_size_mean,privacy__medium_train_size_std,privacy__medium_train_size_min,privacy__medium_train_size_max,privacy__medium_eval_size_n,privacy__medium_eval_size_mean,privacy__medium_eval_size_std,privacy__medium_eval_size_min,privacy__medium_eval_size_max,privacy__strong_auc_n,privacy__strong_auc_mean,privacy__strong_auc_std,privacy__strong_auc_min,privacy__strong_auc_max,privacy__strong_auc_null_mean_n,privacy__strong_auc_null_mean_mean,privacy__strong_auc_null_mean_std,privacy__strong_auc_null_mean_min,privacy__strong_auc_null_mean_max,privacy__strong_auc_null_std_n,privacy__strong_auc_null_std_mean,privacy__strong_auc_null_std_std,privacy__strong_auc_null_std_min,privacy__strong_auc_null_std_max,privacy__strong_auc_pvalue_n,privacy__strong_auc_pvalue_mean,privacy__strong_auc_pvalue_std,privacy__strong_auc_pvalue_min,privacy__strong_auc_pvalue_max,privacy__privacy_score_n,privacy__privacy_score_mean,privacy__privacy_score_std,privacy__privacy_score_min,privacy__privacy_score_max,representation__embedding_l2_mean_n,representation__embedding_l2_mean_mean,representation__embedding_l2_mean_std,representation__embedding_l2_mean_min,representation__embedding_l2_mean_max,representation__member_embedding_l2_mean_n,representation__member_embedding_l2_mean_mean,representation__member_embedding_l2_mean_std,representation__member_embedding_l2_mean_min,representation__member_embedding_l2_mean_max,representation__neighbor_drift_mean_n,representation__neighbor_drift_mean_mean,representation__neighbor_drift_mean_std,representation__neighbor_drift_mean_min,representation__neighbor_drift_mean_max,efficiency__unlearn_time_seconds_n,efficiency__unlearn_time_seconds_mean,efficiency__unlearn_time_seconds_std,efficiency__unlearn_time_seconds_min,efficiency__unlearn_time_seconds_max,efficiency__online_wall_clock_seconds_n,efficiency__online_wall_clock_seconds_mean,efficiency__online_wall_clock_seconds_std,efficiency__online_wall_clock_seconds_min,efficiency__online_wall_clock_seconds_max,efficiency__offline_preprocessing_seconds_n,efficiency__offline_preprocessing_seconds_mean,efficiency__offline_preprocessing_seconds_std,efficiency__offline_preprocessing_seconds_min,efficiency__offline_preprocessing_seconds_max
hasi_full_inpaint_rq4_mia_v2,pubmed,node,0.05,hub_neighbor_train,3,"42,123,2024",3,0.8657031778228532,0.012842068906844245,0.85420892494929,0.8795638945233266,3,0.0070993914807302065,0.0081491676876208,-0.0022819472616633085,0.012423935091277927,3,0.8599359402533328,0.010683435370702165,0.8499976593709165,0.8712342766266179,3,0.00784085972442909,0.0033553532977943943,0.004300184270900608,0.010973588273463276,3,0.00022925544857624325,3.509010337730043e-05,0.00018884021918508243,0.00025196751530261186,3,0.0,0.0,0.0,0.0,3,0.9836141039688338,0.009630376289843059,0.9733382030679328,0.9924328889700511,3,592.0,0.0,592.0,592.0,3,592.0,0.0,592.0,592.0,3,0.6706385439493547,0.06215199704591264,0.6085532322863404,0.7328570124178232,3,0.5133326913273071,0.0005108013505082841,0.512937791042732,0.5139095598977356,3,0.010025788649420357,0.0008224991084521755,0.009081884328891985,0.0105887806837537,3,0.004975124378109453,0.0,0.004975124378109453,0.004975124378109453,3,0.6587229121012905,0.12430399409182528,0.5342859751643536,0.7828935354273192,3,0.12423413962422207,0.015029873128684909,0.10745604945657168,0.13646621138099788,3,0.35900129492100735,0.028896797604674625,0.3322357397064899,0.38963888931516627,3,0.13529652257997568,0.01704448625561967,0.11796064462093521,0.15203384897490416,3,52.1321678427048,9.02380174049159,45.16743930103257,62.326343724969774,3,58.97155672707595,9.203435774552787,51.95464710518718,69.3919913249556,3,0.9792091265941659,0.04340618700900169,0.9291051998734474,1.0053988359868526
hasi_no_inpaint_rq4_mia_v2,pubmed,node,0.05,hub_neighbor_train,3,"42,123,2024",3,0.8591954022988505,0.018424417377446985,0.8415314401622718,0.8782961460446247,3,0.013607167004732967,0.01333568561785821,-0.001014198782961384,0.02510141987829617,3,0.8525847234777153,0.01685024662739586,0.8362858051835245,0.8699368864793056,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3,0.9845195702459216,0.012490968183185602,0.9700967859751644,0.9918393900657414,3,592.0,0.0,592.0,592.0,3,592.0,0.0,592.0,592.0,3,0.6443629017531044,0.079799545911912,0.5766612262600438,0.7323462609569028,3,0.5131144948791697,0.0005997543986870417,0.5125608479044923,0.5137516121484661,3,0.010118672598858432,0.0006531049134502147,0.009406395192357364,0.010689384599874313,3,0.004975124378109453,0.0,0.004975124378109453,0.004975124378109453,3,0.7112741964937911,0.159599091823824,0.5353074780861944,0.8466775474799124,3,0.11609972450326915,0.01871010245525764,0.10495376725114573,0.1377006057240753,3,0.3626573184131916,0.02637605791218584,0.34039641905060825,0.39178875975226934,3,0.13132930873816592,0.01823332024173749,0.12036164629626661,0.15237709679721326,3,45.74483799398877,10.149345349630616,37.79402859113179,57.1766281069722,3,52.75257604398454,10.390371197605834,44.55676043895073,64.43871608795598,3,0.9792091265941659,0.04340618700900169,0.9291051998734474,1.0053988359868526
