method,dataset,unlearning_type,ratio,selection,seed,n,utility__accuracy_after_n,utility__accuracy_after_mean,utility__accuracy_after_std,utility__accuracy_after_min,utility__accuracy_after_max,utility__accuracy_drop_n,utility__accuracy_drop_mean,utility__accuracy_drop_std,utility__accuracy_drop_min,utility__accuracy_drop_max,utility__f1_macro_after_n,utility__f1_macro_after_mean,utility__f1_macro_after_std,utility__f1_macro_after_min,utility__f1_macro_after_max,structure__degree_kl_divergence_n,structure__degree_kl_divergence_mean,structure__degree_kl_divergence_std,structure__degree_kl_divergence_min,structure__degree_kl_divergence_max,structure__clustering_coefficient_change_n,structure__clustering_coefficient_change_mean,structure__clustering_coefficient_change_std,structure__clustering_coefficient_change_min,structure__clustering_coefficient_change_max,structure__component_count_change_n,structure__component_count_change_mean,structure__component_count_change_std,structure__component_count_change_min,structure__component_count_change_max,privacy__weak_auc_n,privacy__weak_auc_mean,privacy__weak_auc_std,privacy__weak_auc_min,privacy__weak_auc_max,privacy__medium_auc_n,privacy__medium_auc_mean,privacy__medium_auc_std,privacy__medium_auc_min,privacy__medium_auc_max,privacy__strong_auc_n,privacy__strong_auc_mean,privacy__strong_auc_std,privacy__strong_auc_min,privacy__strong_auc_max,privacy__overall_mia_auc_n,privacy__overall_mia_auc_mean,privacy__overall_mia_auc_std,privacy__overall_mia_auc_min,privacy__overall_mia_auc_max,privacy__privacy_score_n,privacy__privacy_score_mean,privacy__privacy_score_std,privacy__privacy_score_min,privacy__privacy_score_max,efficiency__unlearn_time_seconds_n,efficiency__unlearn_time_seconds_mean,efficiency__unlearn_time_seconds_std,efficiency__unlearn_time_seconds_min,efficiency__unlearn_time_seconds_max,efficiency__online_wall_clock_seconds_n,efficiency__online_wall_clock_seconds_mean,efficiency__online_wall_clock_seconds_std,efficiency__online_wall_clock_seconds_min,efficiency__online_wall_clock_seconds_max,efficiency__offline_preprocessing_seconds_n,efficiency__offline_preprocessing_seconds_mean,efficiency__offline_preprocessing_seconds_std,efficiency__offline_preprocessing_seconds_min,efficiency__offline_preprocessing_seconds_max,efficiency__speedup_vs_retrain_n,efficiency__speedup_vs_retrain_mean,efficiency__speedup_vs_retrain_std,efficiency__speedup_vs_retrain_min,efficiency__speedup_vs_retrain_max
hasi_default_rq1_repairfix,pubmed,node,0.05,hub_train,123,1,1,0.8793103448275862,0.0,0.8793103448275862,0.8793103448275862,1,-0.0020283975659228792,0.0,-0.0020283975659228792,-0.0020283975659228792,1,0.8709324551117792,0.0,0.8709324551117792,0.8709324551117792,1,0.1681845170716014,0.0,0.1681845170716014,0.1681845170716014,1,-0.016992147504181973,0.0,-0.016992147504181973,-0.016992147504181973,1,1688.0,0.0,1688.0,1688.0,1,0.6535022142074507,0.0,0.6535022142074507,0.6535022142074507,1,0.9996604501460921,0.0,0.9996604501460921,0.9996604501460921,1,0.5101551086559533,0.0,0.5101551086559533,0.5101551086559533,1,0.5101551086559533,0.0,0.5101551086559533,0.5101551086559533,1,0.9796897826880935,0.0,0.9796897826880935,0.9796897826880935,1,10424.345849374076,0.0,10424.345849374076,10424.345849374076,1,10555.845790681895,0.0,10555.845790681895,10555.845790681895,0,,,,,0,,,,
hasi_default_rq1_repairfix,pubmed,node,0.05,hub_train,2024,1,1,0.8767748478701826,0.0,0.8767748478701826,0.8767748478701826,1,-0.0022819472616633085,0.0,-0.0022819472616633085,-0.0022819472616633085,1,0.871023327139178,0.0,0.871023327139178,0.871023327139178,1,0.1547741655281021,0.0,0.1547741655281021,0.1547741655281021,1,-0.014465330566202583,0.0,-0.014465330566202583,-0.014465330566202583,1,1557.0,0.0,1557.0,1557.0,1,0.6543154218407596,0.0,0.6543154218407596,0.6543154218407596,1,0.9960509495982469,0.0,0.9960509495982469,0.9960509495982469,1,0.5032442704528853,0.0,0.5032442704528853,0.5032442704528853,1,0.5032442704528853,0.0,0.5032442704528853,0.5032442704528853,1,0.9935114590942293,0.0,0.9935114590942293,0.9935114590942293,1,10560.347677369835,0.0,10560.347677369835,10560.347677369835,1,10692.445662422804,0.0,10692.445662422804,10692.445662422804,0,,,,,0,,,,
hasi_default_rq1_repairfix,pubmed,node,0.05,hub_train,42,1,1,0.8775354969574036,0.0,0.8775354969574036,0.8775354969574036,1,-0.010902636916835684,0.0,-0.010902636916835684,-0.010902636916835684,1,0.8719713434542151,0.0,0.8719713434542151,0.8719713434542151,1,0.16485318077485916,0.0,0.16485318077485916,0.16485318077485916,1,-0.015034128458571348,0.0,-0.015034128458571348,-0.015034128458571348,1,1602.0,0.0,1602.0,1602.0,1,0.650041088385683,0.0,0.650041088385683,0.650041088385683,1,0.9998345051132214,0.0,0.9998345051132214,0.9998345051132214,1,0.514834619247626,0.0,0.514834619247626,0.514834619247626,1,0.514834619247626,0.0,0.514834619247626,0.514834619247626,1,0.9703307615047481,0.0,0.9703307615047481,0.9703307615047481,1,11681.330061392859,0.0,11681.330061392859,11681.330061392859,1,11822.149898604956,0.0,11822.149898604956,11822.149898604956,0,,,,,0,,,,
hasi_default_rq1_repairfix,pubmed,node,0.05,low_degree_train,123,1,1,0.8808316430020284,0.0,0.8808316430020284,0.8808316430020284,1,-0.003549695740365122,0.0,-0.003549695740365122,-0.003549695740365122,1,0.8721139481264223,0.0,0.8721139481264223,0.8721139481264223,1,0.0358679224951267,0.0,0.0358679224951267,0.0358679224951267,1,-0.00026741092095279584,0.0,-0.00026741092095279584,-0.00026741092095279584,1,600.0,0.0,600.0,600.0,1,0.5446008719868517,0.0,0.5446008719868517,0.5446008719868517,1,0.9996889837472608,0.0,0.9996889837472608,0.9996889837472608,1,0.6650469092403214,0.0,0.6650469092403214,0.6650469092403214,1,0.6650469092403214,0.0,0.6650469092403214,0.6650469092403214,1,0.6699061815193572,0.0,0.6699061815193572,0.6699061815193572,1,0.6373585481196642,0.0,0.6373585481196642,0.6373585481196642,1,137.57633353187703,0.0,137.57633353187703,137.57633353187703,0,,,,,0,,,,
hasi_default_rq1_repairfix,pubmed,node,0.05,low_degree_train,2024,1,1,0.875,0.0,0.875,0.875,1,-0.0005070993914807476,0.0,-0.0005070993914807476,-0.0005070993914807476,1,0.8678369313756823,0.0,0.8678369313756823,0.8678369313756823,1,0.0341628351767493,0.0,0.0341628351767493,0.0341628351767493,1,-0.0004612954936736649,0.0,-0.0004612954936736649,-0.0004612954936736649,1,595.0,0.0,595.0,595.0,1,0.5377585144265887,0.0,0.5377585144265887,0.5377585144265887,1,0.999141138604821,0.0,0.999141138604821,0.999141138604821,1,0.6096860162527392,0.0,0.6096860162527392,0.6096860162527392,1,0.6096860162527392,0.0,0.6096860162527392,0.6096860162527392,1,0.7806279674945216,0.0,0.7806279674945216,0.7806279674945216,1,0.6530129499733448,0.0,0.6530129499733448,0.6530129499733448,1,137.57428135699593,0.0,137.57428135699593,137.57428135699593,0,,,,,0,,,,
hasi_default_rq1_repairfix,pubmed,node,0.05,low_degree_train,42,1,1,0.8711967545638946,0.0,0.8711967545638946,0.8711967545638946,1,-0.004563894523326617,0.0,-0.004563894523326617,-0.004563894523326617,1,0.8656113362756725,0.0,0.8656113362756725,0.8656113362756725,1,0.03730154229767514,0.0,0.03730154229767514,0.03730154229767514,1,-0.00035211850858552635,0.0,-0.00035211850858552635,-0.00035211850858552635,1,601.0,0.0,601.0,601.0,1,0.5336040220964208,0.0,0.5336040220964208,0.5336040220964208,1,0.9994493014974434,0.0,0.9994493014974434,0.9994493014974434,1,0.6367073365595325,0.0,0.6367073365595325,0.6367073365595325,1,0.6367073365595325,0.0,0.6367073365595325,0.6367073365595325,1,0.726585326880935,0.0,0.726585326880935,0.726585326880935,1,0.6334946220740676,0.0,0.6334946220740676,0.6334946220740676,1,136.9380036010407,0.0,136.9380036010407,136.9380036010407,0,,,,,0,,,,
hasi_default_rq1_repairfix,pubmed,node,0.05,random_train,123,1,1,0.8803245436105477,0.0,0.8803245436105477,0.8803245436105477,1,-0.0030425963488843744,0.0,-0.0030425963488843744,-0.0030425963488843744,1,0.8713329450927804,0.0,0.8713329450927804,0.8713329450927804,1,0.06086974337578317,0.0,0.06086974337578317,0.06086974337578317,1,-0.0034485698832822237,0.0,-0.0034485698832822237,-0.0034485698832822237,1,768.0,0.0,768.0,768.0,1,0.5328364682249818,0.0,0.5328364682249818,0.5328364682249818,1,0.9983022507304602,0.0,0.9983022507304602,0.9983022507304602,1,0.5920436906501095,0.0,0.5920436906501095,0.5920436906501095,1,0.5920436906501095,0.0,0.5920436906501095,0.5920436906501095,1,0.8159126186997809,0.0,0.8159126186997809,0.8159126186997809,1,403.42033654800616,0.0,403.42033654800616,403.42033654800616,1,538.6878211479634,0.0,538.6878211479634,538.6878211479634,0,,,,,0,,,,
hasi_default_rq1_repairfix,pubmed,node,0.05,random_train,2024,1,1,0.8739858012170385,0.0,0.8739858012170385,0.8739858012170385,1,0.0005070993914807476,0.0,0.0005070993914807476,0.0005070993914807476,1,0.8672129055989674,0.0,0.8672129055989674,0.8672129055989674,1,0.06640940338325439,0.0,0.06640940338325439,0.06640940338325439,1,-0.002916941202205807,0.0,-0.002916941202205807,-0.002916941202205807,1,856.0,0.0,856.0,856.0,1,0.5428289353542732,0.0,0.5428289353542732,0.5428289353542732,1,0.9956571859021184,0.0,0.9956571859021184,0.9956571859021184,1,0.5780365458363769,0.0,0.5780365458363769,0.5780365458363769,1,0.5780365458363769,0.0,0.5780365458363769,0.5780365458363769,1,0.8439269083272463,0.0,0.8439269083272463,0.8439269083272463,1,764.6026688830461,0.0,764.6026688830461,764.6026688830461,1,900.5720614108723,0.0,900.5720614108723,900.5720614108723,0,,,,,0,,,,
hasi_default_rq1_repairfix,pubmed,node,0.05,random_train,42,1,1,0.8744929006085193,0.0,0.8744929006085193,0.8744929006085193,1,-0.00786004056795131,0.0,-0.00786004056795131,-0.00786004056795131,1,0.868486996116586,0.0,0.868486996116586,0.868486996116586,1,0.06767705415607227,0.0,0.06767705415607227,0.06767705415607227,1,-0.0034998619586246865,0.0,-0.0034998619586246865,-0.0034998619586246865,1,927.0,0.0,927.0,927.0,1,0.5363489545288532,0.0,0.5363489545288532,0.5363489545288532,1,0.9977058984660336,0.0,0.9977058984660336,0.9977058984660336,1,0.5584653487947406,0.0,0.5584653487947406,0.5584653487947406,1,0.5584653487947406,0.0,0.5584653487947406,0.5584653487947406,1,0.8830693024105187,0.0,0.8830693024105187,0.8830693024105187,1,1392.3587347848807,0.0,1392.3587347848807,1392.3587347848807,1,1538.0212181939278,0.0,1538.0212181939278,1538.0212181939278,0,,,,,0,,,,
hasi_default_rq1_repairfix,pubmed,node,0.1,hub_train,123,1,1,0.8752535496957403,0.0,0.8752535496957403,0.8752535496957403,1,0.0020283975659229903,0.0,0.0020283975659229903,0.0020283975659229903,1,0.8688495476185657,0.0,0.8688495476185657,0.8688495476185657,1,0.468918629656529,0.0,0.468918629656529,0.468918629656529,1,-0.02889742121109634,0.0,-0.02889742121109634,-0.02889742121109634,1,5741.0,0.0,5741.0,5741.0,1,0.6192317338685763,0.0,0.6192317338685763,0.6192317338685763,1,0.9994397955253668,0.0,0.9994397955253668,0.9994397955253668,1,0.5647868614901582,0.0,0.5647868614901582,0.5647868614901582,1,0.5647868614901582,0.0,0.5647868614901582,0.5647868614901582,1,0.8704262770196836,0.0,0.8704262770196836,0.8704262770196836,1,15122.387491480913,0.0,15122.387491480913,15122.387491480913,1,15257.972445341991,0.0,15257.972445341991,15257.972445341991,0,,,,,0,,,,
