method,dataset,unlearning_type,ratio,selection,seed,n,utility__accuracy_after_n,utility__accuracy_after_mean,utility__accuracy_after_std,utility__accuracy_after_min,utility__accuracy_after_max,utility__accuracy_drop_n,utility__accuracy_drop_mean,utility__accuracy_drop_std,utility__accuracy_drop_min,utility__accuracy_drop_max,utility__f1_macro_after_n,utility__f1_macro_after_mean,utility__f1_macro_after_std,utility__f1_macro_after_min,utility__f1_macro_after_max,structure__degree_kl_divergence_n,structure__degree_kl_divergence_mean,structure__degree_kl_divergence_std,structure__degree_kl_divergence_min,structure__degree_kl_divergence_max,structure__clustering_coefficient_change_n,structure__clustering_coefficient_change_mean,structure__clustering_coefficient_change_std,structure__clustering_coefficient_change_min,structure__clustering_coefficient_change_max,structure__component_count_change_n,structure__component_count_change_mean,structure__component_count_change_std,structure__component_count_change_min,structure__component_count_change_max,privacy__weak_auc_n,privacy__weak_auc_mean,privacy__weak_auc_std,privacy__weak_auc_min,privacy__weak_auc_max,privacy__medium_auc_n,privacy__medium_auc_mean,privacy__medium_auc_std,privacy__medium_auc_min,privacy__medium_auc_max,privacy__strong_auc_n,privacy__strong_auc_mean,privacy__strong_auc_std,privacy__strong_auc_min,privacy__strong_auc_max,privacy__overall_mia_auc_n,privacy__overall_mia_auc_mean,privacy__overall_mia_auc_std,privacy__overall_mia_auc_min,privacy__overall_mia_auc_max,privacy__privacy_score_n,privacy__privacy_score_mean,privacy__privacy_score_std,privacy__privacy_score_min,privacy__privacy_score_max,efficiency__unlearn_time_seconds_n,efficiency__unlearn_time_seconds_mean,efficiency__unlearn_time_seconds_std,efficiency__unlearn_time_seconds_min,efficiency__unlearn_time_seconds_max,efficiency__online_wall_clock_seconds_n,efficiency__online_wall_clock_seconds_mean,efficiency__online_wall_clock_seconds_std,efficiency__online_wall_clock_seconds_min,efficiency__online_wall_clock_seconds_max,efficiency__offline_preprocessing_seconds_n,efficiency__offline_preprocessing_seconds_mean,efficiency__offline_preprocessing_seconds_std,efficiency__offline_preprocessing_seconds_min,efficiency__offline_preprocessing_seconds_max,efficiency__speedup_vs_retrain_n,efficiency__speedup_vs_retrain_mean,efficiency__speedup_vs_retrain_std,efficiency__speedup_vs_retrain_min,efficiency__speedup_vs_retrain_max
hasi_full_inpaint,pubmed,node,0.05,hub_neighbor_train,123,1,1,0.861815415821501,0.0,0.861815415821501,0.861815415821501,1,0.015466531440162301,0.0,0.015466531440162301,0.015466531440162301,1,0.8546569194009517,0.0,0.8546569194009517,0.8546569194009517,1,0.10854731493484641,0.0,0.10854731493484641,0.10854731493484641,1,-0.005929247050780621,0.0,-0.005929247050780621,-0.005929247050780621,1,1465.0,0.0,1465.0,1465.0,1,0.625970142439737,0.0,0.625970142439737,0.625970142439737,1,0.9490932021548576,0.0,0.9490932021548576,0.9490932021548576,1,0.740472630569759,0.0,0.740472630569759,0.740472630569759,1,0.740472630569759,0.0,0.740472630569759,0.740472630569759,1,0.519054738860482,0.0,0.519054738860482,0.519054738860482,1,1830.0383054611739,0.0,1830.0383054611739,1830.0383054611739,1,1960.911865411792,0.0,1960.911865411792,1960.911865411792,0,,,,,0,,,,
hasi_full_inpaint,pubmed,node,0.05,hub_neighbor_train,2024,1,1,0.8729716024340771,0.0,0.8729716024340771,0.8729716024340771,1,0.0015212981744421317,0.0,0.0015212981744421317,0.0015212981744421317,1,0.8657712812002064,0.0,0.8657712812002064,0.8657712812002064,1,0.10604321863094907,0.0,0.10604321863094907,0.10604321863094907,1,-0.004132207389857145,0.0,-0.004132207389857145,-0.004132207389857145,1,1457.0,0.0,1457.0,1457.0,1,0.556493676953981,0.0,0.556493676953981,0.556493676953981,1,0.9906409788166545,0.0,0.9906409788166545,0.9906409788166545,1,0.708748972790358,0.0,0.708748972790358,0.708748972790358,1,0.708748972790358,0.0,0.708748972790358,0.708748972790358,1,0.582502054419284,0.0,0.582502054419284,0.582502054419284,1,1220.1363818140235,0.0,1220.1363818140235,1220.1363818140235,1,1349.4130000788718,0.0,1349.4130000788718,1349.4130000788718,0,,,,,0,,,,
hasi_full_inpaint,pubmed,node,0.05,hub_neighbor_train,42,1,1,0.8646044624746451,0.0,0.8646044624746451,0.8646044624746451,1,0.0020283975659228792,0.0,0.0020283975659228792,0.0020283975659228792,1,0.8587743554449081,0.0,0.8587743554449081,0.8587743554449081,1,0.11353406911895561,0.0,0.11353406911895561,0.11353406911895561,1,-0.004949400638482107,0.0,-0.004949400638482107,-0.004949400638482107,1,1697.0,0.0,1697.0,1697.0,1,0.5750348109934259,0.0,0.5750348109934259,0.5750348109934259,1,0.9979341672753835,0.0,0.9979341672753835,0.9979341672753835,1,0.5798141891891891,0.0,0.5798141891891891,0.5798141891891891,1,0.5798141891891891,0.0,0.5798141891891891,0.5798141891891891,1,0.8403716216216217,0.0,0.8403716216216217,0.8403716216216217,1,1310.522113139974,0.0,1310.522113139974,1310.522113139974,1,1440.7348233058583,0.0,1440.7348233058583,1440.7348233058583,0,,,,,0,,,,
hasi_no_inpaint,pubmed,node,0.05,hub_neighbor_train,123,1,1,0.8722109533468559,0.0,0.8722109533468559,0.8722109533468559,1,0.005070993914807365,0.0,0.005070993914807365,0.005070993914807365,1,0.864535395912798,0.0,0.864535395912798,0.864535395912798,1,0.10544449716341309,0.0,0.10544449716341309,0.10544449716341309,1,-0.0061673225690758934,0.0,-0.0061673225690758934,-0.0061673225690758934,1,1465.0,0.0,1465.0,1465.0,1,0.5720815832724616,0.0,0.5720815832724616,0.5720815832724616,1,0.9922331537618699,0.0,0.9922331537618699,0.9922331537618699,1,0.6517245708546384,0.0,0.6517245708546384,0.6517245708546384,1,0.6517245708546384,0.0,0.6517245708546384,0.6517245708546384,1,0.6965508582907232,0.0,0.6965508582907232,0.6965508582907232,1,1826.797913640039,0.0,1826.797913640039,1826.797913640039,1,1957.2761701568961,0.0,1957.2761701568961,1957.2761701568961,0,,,,,0,,,,
hasi_no_inpaint,pubmed,node,0.05,hub_neighbor_train,2024,1,1,0.856237322515213,0.0,0.856237322515213,0.856237322515213,1,0.018255578093306246,0.0,0.018255578093306246,0.018255578093306246,1,0.851370010284468,0.0,0.851370010284468,0.851370010284468,1,0.09729845122825108,0.0,0.09729845122825108,0.09729845122825108,1,-0.0043737891217200744,0.0,-0.0043737891217200744,-0.0043737891217200744,1,1457.0,0.0,1457.0,1457.0,1,0.556405222790358,0.0,0.556405222790358,0.556405222790358,1,0.9894711011687363,0.0,0.9894711011687363,0.9894711011687363,1,0.6915403579254931,0.0,0.6915403579254931,0.6915403579254931,1,0.6915403579254931,0.0,0.6915403579254931,0.6915403579254931,1,0.6169192841490139,0.0,0.6169192841490139,0.6169192841490139,1,1217.6291984401178,0.0,1217.6291984401178,1217.6291984401178,1,1349.6364637638908,0.0,1349.6364637638908,1349.6364637638908,0,,,,,0,,,,
hasi_no_inpaint,pubmed,node,0.05,hub_neighbor_train,42,1,1,0.848630831643002,0.0,0.848630831643002,0.848630831643002,1,0.018002028397565928,0.0,0.018002028397565928,0.018002028397565928,1,0.8423416341358702,0.0,0.8423416341358702,0.8423416341358702,1,0.11743746443164019,0.0,0.11743746443164019,0.11743746443164019,1,-0.00512819460768215,0.0,-0.00512819460768215,-0.00512819460768215,1,1697.0,0.0,1697.0,1697.0,1,0.5578290494886778,0.0,0.5578290494886778,0.5578290494886778,1,0.9936227401387875,0.0,0.9936227401387875,0.9936227401387875,1,0.5608222242512783,0.0,0.5608222242512783,0.5608222242512783,1,0.5608222242512783,0.0,0.5608222242512783,0.5608222242512783,1,0.8783555514974435,0.0,0.8783555514974435,0.8783555514974435,1,1285.2318679420277,0.0,1285.2318679420277,1285.2318679420277,1,1415.6240049449261,0.0,1415.6240049449261,1415.6240049449261,0,,,,,0,,,,
